ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s]
NGC5055,2.061,50,196.151,-6.312,6.427
NGC5055,2.885,70,199.218,-5.924,7.722
NGC5055,3.709,90,196.164,-6.189,5.512
NGC5055,4.533,110,204.279,-3.015,3.952
NGC5055,5.357,130,208.387,-4.885,4.646
NGC5055,6.182,150,209.539,-4.243,4.236
NGC5055,7.006,170,212.307,-4.509,4.339
NGC5055,7.83,190,211.051,-3.957,4.118
NGC5055,8.654,210,212.144,-4.566,4.85
NGC5055,9.478,230,215.068,-6.865,6.021
NGC5055,10.303,250,216.187,-9.293,7.469
NGC5055,11.127,270,209.412,-6.57,7.58
NGC5055,11.951,290,210.378,-7.347,6.164
NGC5055,12.775,310,208.097,-14.439,11.735
NGC5055,13.599,330,206.061,-11.37,10.362
NGC5055,14.424,350,210.007,-7.094,6.839
NGC5055,15.248,370,212.208,-6.423,5.44
NGC5055,16.072,390,204.505,-6.544,6.279
NGC5585,0.422,10,30.896,-3.387,3.409
NGC5585,1.265,30,40.612,-3.326,3.008
NGC5585,2.109,50,47.718,-4.155,3.841
NGC5585,2.953,70,59.269,-4.603,4.057
NGC5585,3.796,90,71.03,-3.341,3.329
NGC5585,4.64,110,78.566,-3.534,3.203
NGC5585,5.483,130,78.273,-3.19,3.039
NGC5585,6.327,150,81.436,-2.461,2.779
NGC5585,7.171,170,86.704,-3.187,3.306
NGC5585,8.014,190,90.127,-3.867,3.849
NGC5585,8.858,210,93.42,-4.132,3.815
NGC5585,9.701,230,94.399,-2.994,2.508
NGC5585,10.545,250,94.377,-2.712,2.637
NGC5585,11.389,270,92.957,-2.759,2.738
NGC5585,12.232,290,90.632,-3.217,2.957
NGC5585,13.076,310,87.45,-3.881,4.037
NGC5585,13.919,330,83.969,-4.315,4.207
