ID,Radius [kpc],Radius [arcs],Vrot [km/s]
NGC2403,10.798,696,127.71
NGC2403,11.046,712,127.96
NGC2403,11.294,728,128.4
NGC2403,11.542,744,129.04
NGC2403,11.791,760,129.93
NGC2403,12.039,776,130.73
NGC2403,12.287,792,131.2
NGC2541,0.582,10,48.85
NGC2541,1.745,30,51.42
NGC2541,2.909,50,61.15
NGC2541,4.072,70,75.5
NGC2541,5.236,90,86.48
NGC2541,6.4,110,94.78
NGC2541,7.563,130,99.97
NGC2541,8.727,150,100.11
NGC2541,9.89,170,99.43
NGC2541,11.054,190,99.73
NGC2541,12.217,210,97.62
NGC2541,13.381,230,97.5
NGC2541,14.544,250,103.54
NGC2541,15.708,270,105
NGC2541,16.872,290,104.36
NGC3198,0.703,10,50.01
NGC3198,2.109,30,73.27
NGC3198,3.515,50,98.73
NGC3198,4.921,70,121.44
NGC3198,6.327,90,134.47
NGC3198,7.733,110,139.65
NGC3198,9.139,130,144.33
NGC3198,10.545,150,148.24
NGC3198,11.951,170,152.2
NGC3198,13.357,190,155.72
NGC3198,14.763,210,153.52
NGC3198,16.169,230,150.67
NGC3198,17.574,250,149.96
NGC3198,18.98,270,150.89
NGC3198,20.386,290,152.33
NGC3198,21.792,310,150.47
NGC3198,23.198,330,147.59
NGC3198,24.604,350,147.68
NGC3198,26.01,370,148.35
NGC3198,27.416,390,147.2
NGC3198,28.822,410,145.81
NGC4062,1.147,14,67.24
NGC4062,3.441,42,110.5
NGC4062,5.735,70,138.05
NGC4062,8.029,98,150.32
NGC4062,10.324,126,155.61
NGC4062,12.618,154,150.44
NGC4062,14.912,182,105.81
NGC4258,0.368,10,85.85
NGC4258,1.105,30,169.5
NGC4258,1.842,50,210.97
NGC4258,2.579,70,224.41
NGC4258,3.316,90,221.99
NGC4258,4.053,110,220.5
NGC4258,4.79,130,215.55
NGC4258,5.527,150,215
NGC4258,6.264,170,209.29
NGC4258,7.001,190,198.66
NGC4258,7.738,210,193.6
NGC4258,8.475,230,289.29
NGC4258,9.211,250,180.18
NGC4258,9.948,270,175.13
NGC4258,10.685,290,182.76
NGC4258,11.422,310,172.19
NGC4258,12.159,330,173.3
NGC4258,12.896,350,169.06
NGC4258,13.633,370,179.35
NGC4258,14.37,390,181.3
NGC4258,15.107,410,189.04
NGC4258,15.844,430,195.7
NGC4258,16.581,450,199.8
NGC4258,17.318,470,203.67
NGC4258,18.054,490,205.93
NGC4258,18.791,510,207.98
NGC4258,19.528,530,209.97
NGC4258,20.265,550,210.09
NGC4274,1.317,14,285.61
NGC4274,3.95,42,166.75
NGC4274,6.584,70,213.59
NGC4274,9.217,98,234.87
NGC4274,11.851,126,228.9
NGC4274,14.484,154,218.62
NGC4414,1.208,14,170.96
NGC4414,3.624,42,210.15
NGC4414,6.041,70,219.4
NGC4414,8.457,98,220.96
NGC4414,10.873,126,209.22
NGC4414,13.29,154,202.54
NGC4448,0.658,14,5017.2
NGC4448,1.975,42,166.27
NGC4559,0.613,16,43.77
NGC4559,1.838,48,71.38
NGC4559,3.064,80,90.83
NGC4559,4.29,112,101.96
NGC4559,5.515,144,105.12
NGC4559,6.741,176,109.46
NGC4559,7.966,208,113.06
NGC4559,9.192,240,118.37
NGC4559,10.418,272,120.62
NGC4559,11.643,304,121.55
NGC4559,12.869,336,122.66
NGC4559,14.094,368,121.8
NGC4559,15.32,400,120.81
NGC4559,16.546,432,120.62
NGC4559,17.771,464,118.74
NGC5055,0.412,10,177.07
NGC5055,1.236,30,170.24
NGC5055,2.06,50,184.84
NGC5055,2.885,70,192.28
NGC5055,3.709,90,189.74
NGC5055,4.533,110,195.28
NGC5055,5.357,130,200.39
NGC5055,6.181,150,202.5
NGC5055,7.006,170,204.44
NGC5055,7.83,190,204.74
NGC5055,8.654,210,205.16
NGC5055,9.478,230,204.21
NGC5055,10.302,250,204.07
NGC5055,11.126,270,203.51
NGC5055,11.951,290,203.33
NGC5055,12.775,310,204.01
NGC5055,13.599,330,200.79
NGC5055,14.423,350,197.6
NGC5055,15.247,370,197.28
NGC5055,16.072,390,198.39
NGC5585,0.422,10,21.76
NGC5585,1.265,30,56.93
NGC5585,2.109,50,51.39
NGC5585,2.953,70,57.4
NGC5585,3.796,90,62.82
NGC5585,4.64,110,77.51
NGC5585,5.483,130,83.19
NGC5585,6.327,150,81.22
NGC5585,7.17,170,83.07
NGC5585,8.014,190,85.28
NGC5585,8.858,210,85.11
NGC5585,9.701,230,94.5
NGC5585,10.545,250,94.29
NGC5585,11.388,270,92.62
NGC5585,12.232,290,91.15
NGC5585,13.075,310,92.6
NGC5585,13.919,330,73.75
