ID,Radius [kpc],Radius [arcs],Vrot [km/s]
NGC5585,1.265,30,65.5
NGC5585,2.109,50,103.08
NGC5585,2.953,70,58.15
NGC5585,3.796,90,63.99
NGC5585,4.640,110,74.17
NGC5585,5.483,130,83.44
NGC5585,6.327,150,81.98
NGC5585,7.170,170,83.91
NGC5585,8.014,190,85.62
NGC5585,8.858,210,94.12
NGC5585,9.701,230,95.94
NGC5585,10.545,250,94.29
NGC5585,11.388,270,92.79
NGC5585,12.232,290,91.06
NGC5585,13.075,310,90.28

NGC5585,13.919,330,89.55
